"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Close date","closed_date","datetime","The date the ticket was closed","ticket_activity","false","","false","true","false","false","false","true","HubSpot","Custom view (1)","20%","",""
"Create date","createdate","datetime","The date the ticket was created","ticket_activity","false","","false","true","false","false","false","true","HubSpot","","100%","",""
"First agent email response date","first_agent_reply_date","datetime","The date of the first email response from an agent after a ticket was created","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","40%","",""
"Last Closed Date","hs_last_closed_date","datetime","The date when ticket was last closed","ticket_activity","false","","false","true","false","false","false","true","HubSpot","","20%","",""
"Last activity date","hs_lastactivitydate","datetime","The last time a note, call, email, meeting, or task was logged for a ticket. This is updated automatically by HubSpot.","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","40%","",""
"Last contacted date","hs_lastcontacted","datetime","The last time a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a ticket. This is set automatically by HubSpot based on user actions in the ticket record.","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","40%","",""
"Last modified date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this ticket. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Next activity date","hs_nextactivitydate","datetime","The date of the next upcoming activity for a ticket. This property is set automatically by HubSpot based on user action. This includes logging a future call, email, or meeting using the Log feature, as well as creating a future task or scheduling a future meeting. This is updated automatically by HubSpot.","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Number of times contacted","hs_num_times_contacted","number","The number of times a call, email, or meeting was logged on the ticket","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Last customer reply date","last_reply_date","datetime","The date of the last customer response","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","40%","",""
"Number of Sales Activities","num_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, task, or WhatsApp message was logged for a ticket record. This is set automatically by HubSpot based on user actions in the ticket record.","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","40%","",""
"Time to close","time_to_close","number","The time between when the ticket was created and closed","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","20%","",""
"Time to first agent email reply","time_to_first_agent_reply","number","The time from the ticket create date to the first agent email reply","ticket_activity","false","","true","true","false","false","false","true","HubSpot","","40%","",""
"Ticket description","content","string","Description of the ticket","ticketinformation","true","","false","true","false","false","false","true","HubSpot","","80%","",""
"All associated contact emails","hs_all_associated_contact_emails","string","All associated contact emails","ticketinformation","false","","true","true","true","false","false","true","HubSpot","","60%","",""
"Assigned Teams","hs_assigned_team_ids","enumeration","The target main teams or the user's main team assigned to the ticket by automatic assignment.","ticketinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","ticketinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Customer Agent ticket status","hs_customer_agent_ticket_status","enumeration","Signifies if the Breeze Customer Agent has escalated an issue","ticketinformation","false","None (NONE); Escalated (ESCALATED)","false","false","false","false","false","true","HubSpot","","0%","",""
"File upload","hs_file_upload","string","Files attached to a support form by a contact.","ticketinformation","true","","false","true","false","true","false","true","HubSpot","","0%","",""
"Last message from visitor","hs_last_message_from_visitor","bool","Whether the last message came from visitor","ticketinformation","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","","100%","",""
"Last message received date","hs_last_message_received_at","datetime","The date of the last response from the visitor","ticketinformation","false","","true","true","true","false","false","true","HubSpot","","40%","",""
"Last response date","hs_last_message_sent_at","datetime","The date of the last response from an agent or bot","ticketinformation","false","","true","true","true","false","false","true","HubSpot","","40%","",""
"Latest message is thread comment","hs_latest_message_is_thread_comment","bool","Is latest message a thread comment","ticketinformation","false","Yes (true); No (false)","true","false","false","false","false","true","HubSpot","","40%","",""
"Merged Ticket IDs","hs_merged_object_ids","enumeration","The list of Ticket record IDs that have been merged into this Ticket. This value is set automatically by HubSpot.","ticketinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
